brand,name,old_price_reais,new_price_reais,reviews_rating_number,reviews_amount
DELL,"Notebook Latitude 5490 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5",2.999,299,4.1,(75)
LENOVO,"Notebook Lenovo Ideapad 1i Celeron N4020 128gb 4gb W11 15,6'",3.665,2.069,4.0,(3)
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,6.999,5.699,4.9,(16)
SAMSUNG,Notebook Galaxy Book2 intel core i7-1255U 8GB RA SSD 512GB 15.6 Full HD Windows 11 grafite NP550XED-KS2BR,4.999,4.249,4.8,(560)
ASUS,"Notebook Asus vivobook 15 x1504za intel core i5 1235u 8gb ram 512gb ssd linux keepos tela 15,6 fhd blue nj983",3.397,339,4.8,(192)
,Notebook Vaio Fe 16 Amd® Ryzen 7-5825u Windows 11 Home 32gb 512gb Ssd Tela 16 Ips Wuxga Antireflexo - Cinza Grafite - Vjfe69f11x-b0211h,5.999,4.979,,
HP,Notebook Hp Probook 440 G9 Intel Core I3-1215u 14 Intel Uhd 256gb 8gb Ram Windows 11 Pro- 839y2la#ak4,3.099,297,4.8,(9)
ACER,"Notebook Acer Aspire 5 Intel® Core™ i7–12650H 15.6"" UHD para processadores Intel 512GB SSD 8GB RAM Windows 11 Home 64-bits - A515-57-76MR",6.009,600,4.7,(179)
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 16gb Ram 512gb Ssd Linux Keepos Tela 15,60 Fhd Quiet Blue - Nj931",3.799,3.191,4.8,(220)
ASUS,"Notebook Asus Vivobook 15 M1502ya Amd Ryzen 7 7730u 16gb Ram 512gb Ssd Linux Keepos 15,6 Fhd Cool Silver - Nj495",4.499,3.779,5.0,(5)
,"MacBook Air M1 2020 13"" prata 8GB de Ram - 256GB SSD - Apple M - Aceitável (Recondicionado)",3.990,399,,
LENOVO,Notebook Lenovo V15 G4 Intel Core I5 16gb 512gb W11pro 15.6,4.980,498,,
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 7 8gb 256gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",3.699,2.849,4.6,(84)
DELL,Notebook Dell Latitude 5490 Core I5 8th 16gb Ram 256gb Ssdm,2.999,299,4.1,(75)
DELL,"Notebook Latitude 3400 14"" preto - 1TB HDD - Intel Core i5",2.979,297,3.9,(49)
ASUS,Notebook Gamer Rog Strix G16 G614ji Nvidia Rtx4070 Intel Core I9 13980hx 32gb Ram 1tb Ssd Windows 11 Tela 16 240hz Fhd Gray - N4440w,17.999,14.219,4.8,(8)
,"MacBook Air M2 (2022) 13.6"" midnight 8GB de Ram - 256GB SSD - Apple M",7.028,702,4.9,(502)
ASUS,"Notebook Gamer Asus Tuf Gaming F15 Fx507vu Rtx4050 Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Home 15,60 Fhd 144hz Ips Cinza - Lp177w",7.675,767,4.8,(17)
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 5 7520u 4gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1287",2.599,2.129,4.6,(50)
SAMSUNG,Notebook Samsung Galaxy Book4 Ultra 32gb Intel Core Ultra 7 1tb Ssd Windows 11 Home 16'' Wqxga Amoled Antirreflexo Touchscreen Np960xglxg2br Grafite,10.199,1.019,4.7,(55)
